"YEAR","ICAO","NAME","STATE","FLIGHTS_TOTAL","DELAY","A","C","D","E","G","I","M","N","O","P","R","S","T","V","W","NA","DELAY_AVG","A_AVG","C_AVG","D_AVG","E_AVG","G_AVG","I_AVG","M_AVG","N_AVG","O_AVG","P_AVG","R_AVG","S_AVG","T_AVG","V_AVG","W_AVG","NA_AVG"
2014,"EKCH","Copenhagen/ Kastrup","Denmark",125868,4933,0,0,0,0,11,0,0,0,158,0,0,0,0,0,4764,0,0.0391918517812311,0,0,0,0,8.73931420218006e-05,0,0,0,0.00125528331267677,0,0,0,0,0,0.0378491753265326,0
2014,"ELLX","Luxembourg","Luxembourg",29545,2279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2279,0,0.0771365713318666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771365713318666,0
2014,"ENBR","Bergen","Norway",48824,27565,0,2444,0,0,4330,0,0,0,0,10973,0,7491,422,0,1905,0,0.564578895625102,0,0.0500573488448304,0,0,0.0886858921841717,0,0,0,0,0.224746026544322,0,0.153428641651647,0.00864329018515484,0,0.0390176962149762,0
2014,"ENGM","Oslo/ Gardermoen","Norway",123846,97676,0,0,0,0,375,0,0,0,0,0,0,13460,0,0,83841,0,0.788689178495874,0,0,0,0,0.00302795407199264,0,0,0,0,0,0,0.108683364824056,0,0,0.676977859599826,0
2014,"ENHD","Haugesund","Norway",4091,1186,0,0,0,0,0,0,0,0,0,1186,0,0,0,0,0,0,0.289904668785138,0,0,0,0,0,0,0,0,0,0.289904668785138,0,0,0,0,0,0
2014,"ENVA","Trondheim","Norway",28566,913,0,0,0,0,0,0,0,0,0,913,0,0,0,0,0,0,0.0319610726037947,0,0,0,0,0,0,0,0,0,0.0319610726037947,0,0,0,0,0,0
2014,"ENZV","Stavanger","Norway",41077,12673,0,24,0,0,1266,0,0,0,430,7865,0,261,151,0,2676,0,0.308518148842418,0,0.000584268568785452,0,0,0.0308201670034326,0,0,0,0.0104681451907393,0.191469678895732,0,0.00635392068554179,0.00367602307860847,0,0.0651459454195779,0
2014,"EPBY","Bydgoszcz","Poland",1842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EPGD","Gdansk","Poland",18142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EPKK","Krakow - Balice","Poland",19802,1340,0,0,0,0,156,0,0,0,2,0,0,0,33,0,1149,0,0.0676699323300677,0,0,0,0,0.00787799212200788,0,0,0,0.000100999899000101,0,0,0,0.00166649833350167,0,0.058024441975558,0
2014,"EPKT","Katowice - Pyrzowice","Poland",12712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EPLB","Lublin","Poland",1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
