"YEAR","MONTH","ICAO","NAME","STATE","ASMA_RADIUS","FLIGHTS_UNIMPEDED","TIME_REF","TIME_ADD","LABEL"
2014,"APR","EGKK","London/ Gatwick","United Kingdom",40,10644,149696,30182,"London/ Gatwick (EGKK)"
2014,"MAY","EGKK","London/ Gatwick","United Kingdom",40,11626,163385,34517,"London/ Gatwick (EGKK)"
2014,"JUN","EGKK","London/ Gatwick","United Kingdom",40,11614,164279,36036,"London/ Gatwick (EGKK)"
2014,"JUL","EGKK","London/ Gatwick","United Kingdom",40,12288,171082,35663,"London/ Gatwick (EGKK)"
2014,"AUG","EGKK","London/ Gatwick","United Kingdom",40,13109,181893,54902,"London/ Gatwick (EGKK)"
2014,"SEP","EGKK","London/ Gatwick","United Kingdom",40,12024,170267,42903,"London/ Gatwick (EGKK)"
2014,"OCT","EGKK","London/ Gatwick","United Kingdom",40,NA,NA,NA,"London/ Gatwick (EGKK)"
2014,"NOV","EGKK","London/ Gatwick","United Kingdom",40,8476,119756,15450,"London/ Gatwick (EGKK)"
2014,"DEC","EGKK","London/ Gatwick","United Kingdom",40,8852,124170,24258,"London/ Gatwick (EGKK)"
2014,"JAN","EGLL","London/ Heathrow","United Kingdom",40,17091,229570,146215,"London/ Heathrow (EGLL)"
2014,"FEB","EGLL","London/ Heathrow","United Kingdom",40,16058,213895,172467,"London/ Heathrow (EGLL)"
2014,"MAR","EGLL","London/ Heathrow","United Kingdom",40,18619,252857,150871,"London/ Heathrow (EGLL)"
2014,"APR","EGLL","London/ Heathrow","United Kingdom",40,18654,254288,162229,"London/ Heathrow (EGLL)"
2014,"MAY","EGLL","London/ Heathrow","United Kingdom",40,19981,271028,172868,"London/ Heathrow (EGLL)"
2014,"JUN","EGLL","London/ Heathrow","United Kingdom",40,19611,267030,146031,"London/ Heathrow (EGLL)"
2014,"JUL","EGLL","London/ Heathrow","United Kingdom",40,20212,272571,149690,"London/ Heathrow (EGLL)"
2014,"AUG","EGLL","London/ Heathrow","United Kingdom",40,20256,270575,169003,"London/ Heathrow (EGLL)"
2014,"SEP","EGLL","London/ Heathrow","United Kingdom",40,19141,262388,142851,"London/ Heathrow (EGLL)"
2014,"OCT","EGLL","London/ Heathrow","United Kingdom",40,19948,267315,205293,"London/ Heathrow (EGLL)"
2014,"NOV","EGLL","London/ Heathrow","United Kingdom",40,18254,251573,141938,"London/ Heathrow (EGLL)"
2014,"DEC","EGLL","London/ Heathrow","United Kingdom",40,17730,237057,186273,"London/ Heathrow (EGLL)"
2014,"JAN","EGPH","Edinburgh","United Kingdom",40,3582,46764,842,"Edinburgh (EGPH)"
2014,"FEB","EGPH","Edinburgh","United Kingdom",40,3443,45492,1313,"Edinburgh (EGPH)"
2014,"MAR","EGPH","Edinburgh","United Kingdom",40,4028,52834,3126,"Edinburgh (EGPH)"
2014,"APR","EGPH","Edinburgh","United Kingdom",40,4443,56802,3536,"Edinburgh (EGPH)"
2014,"MAY","EGPH","Edinburgh","United Kingdom",40,4796,61244,3819,"Edinburgh (EGPH)"
2014,"JUN","EGPH","Edinburgh","United Kingdom",40,4854,62406,3190,"Edinburgh (EGPH)"
2014,"JUL","EGPH","Edinburgh","United Kingdom",40,5182,67576,3487,"Edinburgh (EGPH)"
2014,"AUG","EGPH","Edinburgh","United Kingdom",40,4969,65098,3784,"Edinburgh (EGPH)"
2014,"SEP","EGPH","Edinburgh","United Kingdom",40,4896,63381,4910,"Edinburgh (EGPH)"
2014,"OCT","EGPH","Edinburgh","United Kingdom",40,4817,63552,3103,"Edinburgh (EGPH)"
2014,"NOV","EGPH","Edinburgh","United Kingdom",40,3950,50457,2038,"Edinburgh (EGPH)"
2014,"DEC","EGPH","Edinburgh","United Kingdom",40,3827,51549,4701,"Edinburgh (EGPH)"
2014,"JAN","EGSS","London/ Stansted","United Kingdom",40,5390,70927,5666,"London/ Stansted (EGSS)"
2014,"FEB","EGSS","London/ Stansted","United Kingdom",40,4944,64974,6074,"London/ Stansted (EGSS)"
2014,"MAR","EGSS","London/ Stansted","United Kingdom",40,5530,77128,3631,"London/ Stansted (EGSS)"
2014,"APR","EGSS","London/ Stansted","United Kingdom",40,6489,94029,4807,"London/ Stansted (EGSS)"
2014,"MAY","EGSS","London/ Stansted","United Kingdom",40,6943,99419,5917,"London/ Stansted (EGSS)"
2014,"JUN","EGSS","London/ Stansted","United Kingdom",40,6845,100239,3662,"London/ Stansted (EGSS)"
2014,"JUL","EGSS","London/ Stansted","United Kingdom",40,6846,100299,4779,"London/ Stansted (EGSS)"
2014,"AUG","EGSS","London/ Stansted","United Kingdom",40,6922,95078,3664,"London/ Stansted (EGSS)"
2014,"SEP","EGSS","London/ Stansted","United Kingdom",40,6939,104633,5249,"London/ Stansted (EGSS)"
2014,"OCT","EGSS","London/ Stansted","United Kingdom",40,6980,94515,6810,"London/ Stansted (EGSS)"
2014,"NOV","EGSS","London/ Stansted","United Kingdom",40,6161,87254,6059,"London/ Stansted (EGSS)"
2014,"DEC","EGSS","London/ Stansted","United Kingdom",40,6020,82721,7078,"London/ Stansted (EGSS)"
2014,"JAN","EHAM","Amsterdam/ Schiphol","Netherlands",40,15730,211410,28154,"Amsterdam/ Schiphol (EHAM)"
2014,"FEB","EHAM","Amsterdam/ Schiphol","Netherlands",40,14846,199854,32115,"Amsterdam/ Schiphol (EHAM)"
2014,"MAR","EHAM","Amsterdam/ Schiphol","Netherlands",40,17190,227911,21889,"Amsterdam/ Schiphol (EHAM)"
2014,"APR","EHAM","Amsterdam/ Schiphol","Netherlands",40,18409,242430,15276,"Amsterdam/ Schiphol (EHAM)"
2014,"MAY","EHAM","Amsterdam/ Schiphol","Netherlands",40,19691,258821,24265,"Amsterdam/ Schiphol (EHAM)"
2014,"JUN","EHAM","Amsterdam/ Schiphol","Netherlands",40,19028,249129,25512,"Amsterdam/ Schiphol (EHAM)"
2014,"JUL","EHAM","Amsterdam/ Schiphol","Netherlands",40,20620,270461,22825,"Amsterdam/ Schiphol (EHAM)"
2014,"AUG","EHAM","Amsterdam/ Schiphol","Netherlands",40,20734,275252,22593,"Amsterdam/ Schiphol (EHAM)"
2014,"SEP","EHAM","Amsterdam/ Schiphol","Netherlands",40,18862,246038,28938,"Amsterdam/ Schiphol (EHAM)"
2014,"OCT","EHAM","Amsterdam/ Schiphol","Netherlands",40,20008,267764,36012,"Amsterdam/ Schiphol (EHAM)"
2014,"NOV","EHAM","Amsterdam/ Schiphol","Netherlands",40,16948,226550,28078,"Amsterdam/ Schiphol (EHAM)"
2014,"DEC","EHAM","Amsterdam/ Schiphol","Netherlands",40,16453,220223,29865,"Amsterdam/ Schiphol (EHAM)"
2014,"JAN","EIDW","Dublin","Ireland",40,6109,77092,11420,"Dublin (EIDW)"
2014,"FEB","EIDW","Dublin","Ireland",40,5587,71540,12118,"Dublin (EIDW)"
2014,"MAR","EIDW","Dublin","Ireland",40,6557,83396,10734,"Dublin (EIDW)"
2014,"APR","EIDW","Dublin","Ireland",40,7397,98359,9291,"Dublin (EIDW)"
2014,"MAY","EIDW","Dublin","Ireland",40,7984,104824,12010,"Dublin (EIDW)"
2014,"JUN","EIDW","Dublin","Ireland",40,7964,106003,8318,"Dublin (EIDW)"
2014,"JUL","EIDW","Dublin","Ireland",40,8402,107958,9686,"Dublin (EIDW)"
2014,"AUG","EIDW","Dublin","Ireland",40,8243,103770,9590,"Dublin (EIDW)"
2014,"SEP","EIDW","Dublin","Ireland",40,7981,106818,10519,"Dublin (EIDW)"
2014,"OCT","EIDW","Dublin","Ireland",40,7878,101014,14191,"Dublin (EIDW)"
2014,"NOV","EIDW","Dublin","Ireland",40,6758,88328,11318,"Dublin (EIDW)"
2014,"DEC","EIDW","Dublin","Ireland",40,6669,80660,11784,"Dublin (EIDW)"
2014,"JAN","EKCH","Copenhagen/ Kastrup","Denmark",40,8656,97230,23893,"Copenhagen/ Kastrup (EKCH)"
2014,"FEB","EKCH","Copenhagen/ Kastrup","Denmark",40,8603,98590,19273,"Copenhagen/ Kastrup (EKCH)"
2014,"MAR","EKCH","Copenhagen/ Kastrup","Denmark",40,10032,113725,13952,"Copenhagen/ Kastrup (EKCH)"
2014,"APR","EKCH","Copenhagen/ Kastrup","Denmark",40,10051,112393,10980,"Copenhagen/ Kastrup (EKCH)"
2014,"MAY","EKCH","Copenhagen/ Kastrup","Denmark",40,10830,121569,11471,"Copenhagen/ Kastrup (EKCH)"
2014,"JUN","EKCH","Copenhagen/ Kastrup","Denmark",40,10829,123053,9790,"Copenhagen/ Kastrup (EKCH)"
2014,"JUL","EKCH","Copenhagen/ Kastrup","Denmark",40,10485,117070,6401,"Copenhagen/ Kastrup (EKCH)"
2014,"AUG","EKCH","Copenhagen/ Kastrup","Denmark",40,10489,119044,10943,"Copenhagen/ Kastrup (EKCH)"
2014,"SEP","EKCH","Copenhagen/ Kastrup","Denmark",40,10820,120190,12389,"Copenhagen/ Kastrup (EKCH)"
2014,"OCT","EKCH","Copenhagen/ Kastrup","Denmark",40,10901,123463,15631,"Copenhagen/ Kastrup (EKCH)"
2014,"NOV","EKCH","Copenhagen/ Kastrup","Denmark",40,9175,102307,13330,"Copenhagen/ Kastrup (EKCH)"
2014,"DEC","EKCH","Copenhagen/ Kastrup","Denmark",40,8209,93302,12564,"Copenhagen/ Kastrup (EKCH)"
2014,"JAN","ENGM","Oslo/ Gardermoen","Norway",40,NA,NA,NA,"Oslo/ Gardermoen (ENGM)"
2014,"FEB","ENGM","Oslo/ Gardermoen","Norway",40,NA,NA,NA,"Oslo/ Gardermoen (ENGM)"
2014,"MAR","ENGM","Oslo/ Gardermoen","Norway",40,NA,NA,NA,"Oslo/ Gardermoen (ENGM)"
2014,"APR","ENGM","Oslo/ Gardermoen","Norway",40,NA,NA,NA,"Oslo/ Gardermoen (ENGM)"
2014,"MAY","ENGM","Oslo/ Gardermoen","Norway",40,NA,NA,NA,"Oslo/ Gardermoen (ENGM)"
2014,"JUN","ENGM","Oslo/ Gardermoen","Norway",40,NA,NA,NA,"Oslo/ Gardermoen (ENGM)"
2014,"JUL","ENGM","Oslo/ Gardermoen","Norway",40,NA,NA,NA,"Oslo/ Gardermoen (ENGM)"
2014,"AUG","ENGM","Oslo/ Gardermoen","Norway",40,NA,NA,NA,"Oslo/ Gardermoen (ENGM)"
2014,"SEP","ENGM","Oslo/ Gardermoen","Norway",40,NA,NA,NA,"Oslo/ Gardermoen (ENGM)"
2014,"OCT","ENGM","Oslo/ Gardermoen","Norway",40,NA,NA,NA,"Oslo/ Gardermoen (ENGM)"
2014,"NOV","ENGM","Oslo/ Gardermoen","Norway",40,NA,NA,NA,"Oslo/ Gardermoen (ENGM)"
2014,"DEC","ENGM","Oslo/ Gardermoen","Norway",40,NA,NA,NA,"Oslo/ Gardermoen (ENGM)"
2014,"JAN","EPWA","Warszawa/ Chopina","Poland",40,NA,NA,NA,"Warszawa/ Chopina (EPWA)"
2014,"FEB","EPWA","Warszawa/ Chopina","Poland",40,NA,NA,NA,"Warszawa/ Chopina (EPWA)"
2014,"MAR","EPWA","Warszawa/ Chopina","Poland",40,NA,NA,NA,"Warszawa/ Chopina (EPWA)"
2014,"APR","EPWA","Warszawa/ Chopina","Poland",40,NA,NA,NA,"Warszawa/ Chopina (EPWA)"
2014,"MAY","EPWA","Warszawa/ Chopina","Poland",40,NA,NA,NA,"Warszawa/ Chopina (EPWA)"
2014,"JUN","EPWA","Warszawa/ Chopina","Poland",40,NA,NA,NA,"Warszawa/ Chopina (EPWA)"
2014,"JUL","EPWA","Warszawa/ Chopina","Poland",40,NA,NA,NA,"Warszawa/ Chopina (EPWA)"
2014,"AUG","EPWA","Warszawa/ Chopina","Poland",40,NA,NA,NA,"Warszawa/ Chopina (EPWA)"
2014,"SEP","EPWA","Warszawa/ Chopina","Poland",40,NA,NA,NA,"Warszawa/ Chopina (EPWA)"
2014,"OCT","EPWA","Warszawa/ Chopina","Poland",40,NA,NA,NA,"Warszawa/ Chopina (EPWA)"
2014,"NOV","EPWA","Warszawa/ Chopina","Poland",40,NA,NA,NA,"Warszawa/ Chopina (EPWA)"
2014,"DEC","EPWA","Warszawa/ Chopina","Poland",40,NA,NA,NA,"Warszawa/ Chopina (EPWA)"
2014,"JAN","ESSA","Stockholm/ Arlanda","Sweden",40,8136,100786,9818,"Stockholm/ Arlanda (ESSA)"
2014,"FEB","ESSA","Stockholm/ Arlanda","Sweden",40,8134,103136,8554,"Stockholm/ Arlanda (ESSA)"
