"YEAR","NAME","TYPE","FLIGHTS_TOTAL","DELAY","A","C","D","E","G","I","M","N","O","P","R","S","T","V","W","NA","FLIGHTS_DELAYED","FLIGHTS_DELAYED_15","DELAY_AVG","A_AVG","C_AVG","D_AVG","E_AVG","G_AVG","I_AVG","M_AVG","N_AVG","O_AVG","P_AVG","R_AVG","S_AVG","T_AVG","V_AVG","W_AVG","NA_AVG","FLIGHTS_DELAYED_AVG","FLIGHTS_DELAYED_15_AVG","TARGET"
2012,"BULATSA","ANSP (AUA)",540138,109,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0.000201800280669014,0,0.000201800280669014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85137872173408e-05,5.55413616520223e-06,NA
2012,"Croatia Control","ANSP (AUA)",495911,128827,0,80781,0,161,0,0,250,0,0,0,0,11325,302,0,36008,0,8854,3596,0.259778468313871,0,0.162894148345167,0,0.000324655028825737,0,0,0.000504122715567914,0,0,0,0,0.0228367590152265,0.000608980240406041,0,0.0726098029686778,0,0.0178540100945533,0.00725130114072888,NA
2012,"DCAC Cyprus","ANSP (AUA)",269752,428366,0,358144,0,0,0,5444,1296,265,476,0,0,61499,0,0,162,1080,23171,12421,1.58799934754886,0,1.32767875678401,0,0,0,0.0201815000444853,0.00480441294225807,0.00098238381921172,0.00176458376582935,0,0,0.227983481123402,0,0,0.000600551617782259,0.00400367745188173,0.0858974168866218,0.0460459978053916,NA
2012,"DFS","ANSP (AUA)",2784011,1410566,0,460799,0,0,4634,0,2364,217,21511,50202,0,475145,28301,0,367259,134,79873,40154,0.506666819922766,0,0.165516228204558,0,0,0.00166450491754523,0,0.000849134575976891,7.79450943261359e-05,0.00772662176981341,0.0180322563380676,0,0.170669225085677,0.010165548914857,0,0.131917223028214,4.81319937313466e-05,0.0286899010097302,0.0144230751961828,NA
2012,"DHMI","ANSP (AUA)",1032651,145123,0,71342,0,761,0,0,0,0,68866,422,0,0,3574,0,0,158,8355,4235,0.140534410948133,0,0.069086264381674,0,0.000736938229856941,0,0,0,0,0.0666885520858451,0.000408656942180853,0,0,0.00346099505060277,0,0,0.000153004257972926,0.00809082642635314,0.00410109514250216,NA
2012,"DSNA","ANSP (AUA)",2839361,1535213,0,693633,0,120,199,552593,47377,3237,13287,22049,0,62005,24576,38,115227,872,70242,34774,0.540689612909383,0,0.244291937516927,0,4.226303030858e-05,7.00861919283952e-05,0.194618789227576,0.0166857965577466,0.00114004524257395,0.00467957403091752,0.00776547962728234,0,0.0218376599523625,0.00865546860719718,1.33832929310503e-05,0.0405820182780562,0.000307111353575681,0.0247386647911273,0.012247121799588,NA
2012,"EANS","ANSP (AUA)",188575,19847,0,5633,0,0,0,0,0,0,4510,6654,0,0,3036,0,0,14,1372,515,0.105247249105131,0,0.0298714039506828,0,0,0,0,0,0,0.0239162137080737,0.035285695346679,0,0,0.0160996950815325,0,0,7.42410181625348e-05,0.00727561977992841,0.00273100888240753,NA
2012,"ENAIRE","ANSP (AUA)",1655271,802359,0,671908,0,770,83,0,842,0,1379,4267,0,11844,6552,0,104660,54,45743,21934,0.484729690787792,0,0.405920239042429,0,0.000465180626012296,5.01428467000268e-05,0,0.000508678035197862,0,0.000833096212040204,0.00257782562492788,0,0.00715532381102551,0.00395826423588645,0,0.0632283172966843,3.2623056889174e-05,0.0276347498385461,0.013251002403836,NA
2012,"ENAV","ANSP (AUA)",1556741,411,0,0,0,0,0,0,0,0,0,0,133,0,0,0,278,0,7,7,0.00026401308888248,0,0,0,0,0,0,0,0,0,0,8.54348925094155e-05,0,0,0,0.000178578196373064,0,4.49657328996924e-06,4.49657328996924e-06,NA
2012,"EUROCONTROL Area (MS)","AREA (AUA)",9633979,6004683,710,3047399,0,1893,10731,569277,74110,5659,128943,94820,769,1064859,137088,38,865989,2398,324028,160832,0.62328171983767,7.36974826289324e-05,0.316317795585811,0,0.000196492020586717,0.00111386998040996,0.0590905377726067,0.00769256399666223,0.000587400076333984,0.0133841894403133,0.00984224690545828,7.98216396361254e-05,0.110531588246144,0.0142296345051198,3.94437230971751e-06,0.0898890271610515,0.000248910652597437,0.0336338702835038,0.0166942444030654,NA
2012,"HCAA","ANSP (AUA)",633008,96693,0,13178,0,81,0,4383,0,0,0,0,0,43270,35725,0,0,56,3659,2262,0.152751623992114,0,0.0208180623309658,0,0.000127960468114147,0,0.0069240831079544,0,0,0,0,0,0.0683561661148042,0.0564368854738013,0,0,8.84664964739782e-05,0.00578033768925511,0.00357341455400248,NA
2012,"HungaroControl (EC)","ANSP (AUA)",589203,1136,0,0,0,0,0,0,0,0,1136,0,0,0,0,0,0,0,65,37,0.00192802820080685,0,0,0,0,0,0,0,0,0.00192802820080685,0,0,0,0,0,0,0,0.000110318515010955,6.27966931600824e-05,NA
