"YEAR","ICAO","NAME","STATE","FLIGHTS_NM","FLIGHTS_APT","DELAY_APT","FLIGHTS_AL","DELAY_AL"
2014,"LFBA","Agen-La Garenne","France",2355,0,0,476,0
2014,"LFBD","Bordeaux-Mérignac","France",28841,0,0,21286,1923
2014,"LFBE","Bergerac-Roumanière","France",2470,0,0,1061,34
2014,"LFBH","La Rochelle-Ile de Ré","France",2917,0,0,1318,11
2014,"LFBI","Poitiers-Biard","France",2788,0,0,978,37
2014,"LFBL","Limoges-Bellegarde","France",3501,0,0,957,141
2014,"LFBO","Toulouse-Blagnac","France",44481,0,0,33793,7696
2014,"LFBP","Pau-Pyrénées","France",5477,0,0,3546,22
2014,"LFBT","Tarbes-Lourdes Pyrénées","France",3648,0,0,1517,28
2014,"LFBZ","Biarritz-Bayonne-Anglet","France",6309,0,0,4472,936
2014,"LFCR","Rodez-Marcillac","France",1954,0,0,808,13
2014,"LFGJ","Dôle-Tavaux","France",1712,0,0,347,33
2014,"LFJL","Metz-Nancy-Lorraine","France",2968,0,0,1110,25
2014,"LFJR","Angers-Marcé","France",841,0,0,38,3
2014,"LFKB","Bastia-Poretta","France",7460,0,0,2879,293
2014,"LFKC","Calvi-Sainte-Catherine","France",3243,0,0,904,1528
2014,"LFKF","Figari-Sud Corse","France",4813,0,0,773,367
2014,"LFKJ","Ajaccio-Napoléon-Bonaparte","France",8332,0,0,3022,164
2014,"LFLB","Chambéry-Aix-les-Bains","France",3319,0,0,492,1465
2014,"LFLC","Clermont-Ferrand-Auvergne","France",6641,0,0,3371,100
2014,"LFLI","Annemasse","France",1011,0,0,0,0
2014,"LFLL","Lyon-Saint-Exupéry","France",54044,54127,5132,42816,6596
2014,"LFLP","Annecy-Meythet","France",1432,0,0,1,0
2014,"LFLS","Grenoble-Isère","France",3115,0,0,880,101
2014,"LFLX","Châteauroux-Déols","France",1362,0,0,27,45
2014,"LFLY","Lyon-Bron","France",4481,0,0,2,0
2014,"LFMD","Cannes-Mandelieu","France",6543,0,0,8,5
2014,"LFMH","Saint-Etienne-Bouthéon","France",1390,0,0,277,89
2014,"LFMI","Istres-Le Tubé","France",1503,0,0,0,0
2014,"LFMK","Carcassonne-Salvaza","France",2567,0,0,1366,178
2014,"LFML","Marseille-Provence","France",48673,0,0,29898,5088
2014,"LFMN","Nice-Côte d’Azur","France",68320,0,0,43548,21684
2014,"LFMP","Perpignan-Rivesaltes","France",3859,0,0,1919,75
2014,"LFMT","Montpellier-Méditerranée","France",13006,0,0,6801,932
2014,"LFMU","Béziers-Vias","France",2536,0,0,842,53
2014,"LFMV","Avignon-Caumont","France",2570,0,0,48,0
2014,"LFOB","Beauvais-Tillé","France",13574,0,0,12302,1156
2014,"LFOH","Le Havre-Octeville","France",731,0,0,22,0
2014,"LFOK","Châlons-Vatry","France",1489,0,0,370,109
2014,"LFOT","Tours-Val de Loire","France",1569,0,0,603,49
2014,"LFPB","Paris-Le Bourget","France",27193,0,0,61,5
2014,"LFPG","Paris-Charles-de-Gaulle","France",235747,235806,115346,183258,101333
