"YEAR","MONTH","NAME","TYPE","FLIGHTS_TOTAL","DELAY","A","C","D","E","G","I","M","N","O","P","R","S","T","V","W","NA","FLIGHTS_DELAYED","FLIGHTS_DELAYED_15","DELAY_AVG","A_AVG","C_AVG","D_AVG","E_AVG","G_AVG","I_AVG","M_AVG","N_AVG","O_AVG","P_AVG","R_AVG","S_AVG","T_AVG","V_AVG","W_AVG","NA_AVG"
2011,"APR","EANS","ANSP (AUA)",14262,386,NA,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,13,0.027064927780115,NA,0.027064927780115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","ENAIRE","ANSP (AUA)",150827,311810,NA,251935,NA,NA,375,NA,4890,NA,NA,NA,NA,14745,460,NA,39405,NA,17854,8521,2.06733542402885,NA,1.67035742937273,NA,NA,0.00248629224210519,NA,0.0324212508370517,NA,NA,NA,NA,0.0977610109595762,0.00304985181698237,NA,0.261259588800414,NA
2011,"APR","ENAV","ANSP (AUA)",129892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","EUROCONTROL Area (MS)","AREA (AUA)",804212,674183,NA,434594,NA,NA,1843,3782,5757,72,4669,58330,6612,94635,11598,NA,52291,NA,40789,18783,0.838315021412264,NA,0.540397308172472,NA,NA,0.00229168428225393,0.00470274007351295,0.00715856018064888,8.95286317538162e-05,0.00580568307859122,0.0725306262527791,0.00822171268272545,0.117674195361422,0.0144215704316772,NA,0.0650214122644278,NA
2011,"APR","HCAA","ANSP (AUA)",49348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","HungaroControl (EC)","ANSP (AUA)",45859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","IAA","ANSP (AUA)",44239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","LFV","ANSP (AUA)",57704,3300,NA,3141,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,NA,NA,NA,NA,251,89,0.0571884098156107,NA,0.0544329682517676,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00275544156384306,NA,NA,NA,NA
2011,"APR","LGS","ANSP (AUA)",18969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","LPS","ANSP (AUA)",27374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
